Name,Rarity,Level,Overtaking,Defending,Consistency,Fuel Use,Tyre Mgmt,Wet Ability,Total Value,Dry Quali,Series,Cards For Upgrade,Total Cards Needed,Coins For Upgrade,Total Coins Needed
Hamilton,Epic,8,77,78,80,71,75,73,454,301,12,400,785,378000000,1512000000
Norris,Epic,8,74,72,70,80,76,80,452,302,12,400,785,378000000,1512000000
Verstappen,Epic,8,80,76,74,72,78,71,451,306,12,400,785,378000000,1512000000
Russell,Epic,8,77,80,72,70,74,75,448,301,12,400,785,378000000,1512000000
Leclerc,Epic,8,71,70,77,75,80,73,446,296,12,400,785,378000000,1512000000
Hamilton,Epic,7,73,75,77,68,71,70,434,287,12,200,385,324000000,1134000000
Sainz,Epic,8,67,75,73,71,69,77,432,282,11,400,785,199500000,798000000
Verstappen,Epic,7,77,73,71,69,75,67,432,294,12,200,385,324000000,1134000000
Norris,Epic,7,71,69,67,76,72,75,430,288,12,200,385,324000000,1134000000
Gasly,Epic,8,72,76,69,71,74,67,429,293,11,400,785,199500000,798000000
Alonso,Epic,8,76,72,70,74,67,68,427,289,11,400,785,199500000,798000000
Russell,Epic,7,74,76,68,67,70,72,427,287,12,200,385,324000000,1134000000
Perez,Epic,8,70,68,75,66,72,74,425,276,11,400,785,199500000,798000000
Leclerc,Epic,7,68,66,74,72,75,70,425,281,12,200,385,324000000,1134000000
Hamilton,Epic,6,70,72,74,64,68,66,414,274,12,100,185,270000000,810000000
Sainz,Epic,7,64,71,70,68,66,73,412,269,11,200,385,171000000,598500000
Verstappen,Epic,6,73,70,68,66,71,64,412,280,12,100,185,270000000,810000000
Ricciardo,Epic,8,65,64,67,71,73,69,409,273,10,400,785,105000000,420000000
Gasly,Epic,7,69,73,65,67,71,64,409,280,11,200,385,171000000,598500000
Norris,Epic,6,67,65,64,73,69,71,409,274,12,100,185,270000000,810000000
Vettel,Epic,8,71,67,69,65,63,72,407,266,10,400,785,105000000,420000000
Alonso,Epic,7,72,69,67,71,63,65,407,275,11,200,385,171000000,598500000
Russell,Epic,6,71,72,65,63,67,69,407,273,12,100,185,270000000,810000000
Ocon,Epic,8,63,70,65,72,68,67,405,273,10,400,785,105000000,420000000
Perez,Epic,7,67,65,72,63,68,70,405,263,11,200,385,171000000,598500000
Leclerc,Epic,6,65,63,70,68,72,67,405,268,12,100,185,270000000,810000000
Hamilton,Epic,5,67,68,70,61,65,63,394,261,12,50,85,216000000,540000000
Sainz,Epic,6,61,68,66,64,62,70,391,255,11,100,185,142500000,427500000
Verstappen,Epic,5,70,66,64,62,68,61,391,266,12,50,85,216000000,540000000
Ricciardo,Epic,7,62,60,64,68,70,66,390,260,10,200,385,90000000,315000000
Gasly,Epic,6,66,70,62,64,68,60,390,268,11,100,185,142500000,427500000
Norris,Epic,5,64,62,60,70,66,68,390,262,12,50,85,216000000,540000000
Bottas,Epic,8,65,69,60,64,67,62,387,265,9,400,785,52500000,210000000
Vettel,Epic,7,67,64,65,62,60,69,387,253,10,200,385,90000000,315000000
Alonso,Epic,6,69,65,64,67,60,62,387,261,11,100,185,142500000,427500000
Russell,Epic,5,67,69,62,60,64,65,387,260,12,50,85,216000000,540000000
Stroll,Epic,8,69,65,63,61,60,67,385,255,9,400,785,52500000,210000000
Ocon,Epic,7,60,67,61,69,65,63,385,261,10,200,385,90000000,315000000
Perez,Epic,6,63,61,69,60,65,67,385,249,11,100,185,142500000,427500000
Leclerc,Epic,5,61,60,67,65,69,63,385,255,12,50,85,216000000,540000000
Hamilton,Epic,4,63,65,67,58,61,60,374,247,12,20,35,162000000,324000000
Sainz,Epic,5,57,65,63,61,59,67,372,242,11,50,85,114000000,285000000
Verstappen,Epic,4,67,63,61,59,65,57,372,254,12,20,35,162000000,324000000
Ricciardo,Epic,6,59,57,61,64,66,62,369,246,10,100,185,75000000,225000000
Gasly,Epic,5,62,66,59,61,64,57,369,253,11,50,85,114000000,285000000
Norris,Epic,4,61,59,57,66,62,64,369,248,12,20,35,162000000,324000000
Bottas,Epic,7,62,66,57,60,64,58,367,252,9,200,385,45000000,157500000
Vettel,Epic,6,64,60,62,58,57,66,367,239,10,100,185,75000000,225000000
Alonso,Epic,5,66,62,60,64,57,58,367,249,11,50,85,114000000,285000000
Russell,Epic,4,64,66,58,57,60,62,367,247,12,20,35,162000000,324000000
Tsunoda,Epic,8,64,60,65,62,58,56,365,244,8,400,785,26250000,105000000
Stroll,Epic,7,65,62,60,58,56,64,365,241,9,200,385,45000000,157500000
Ocon,Epic,6,56,64,58,65,62,60,365,247,10,100,185,75000000,225000000
Perez,Epic,5,60,58,65,56,62,64,365,236,11,50,85,114000000,285000000
Leclerc,Epic,4,58,56,64,62,65,60,365,241,12,20,35,162000000,324000000
Hamilton,Epic,3,60,62,64,54,58,56,354,234,12,10,15,108000000,162000000
Sainz,Epic,4,54,61,60,58,56,63,352,229,11,20,35,85500000,171000000
Verstappen,Epic,3,63,60,58,56,61,54,352,240,12,10,15,108000000,162000000
Hamilton,Rare,9,59,61,63,54,57,55,349,231,11,1000,1785,152000000,684000000
Ricciardo,Epic,5,55,54,57,61,63,59,349,233,10,50,85,60000000,150000000
Gasly,Epic,4,59,63,55,57,61,54,349,240,11,20,35,85500000,171000000
Norris,Epic,3,57,55,54,63,59,61,349,234,12,10,15,108000000,162000000
Bottas,Epic,6,59,62,53,57,61,55,347,239,9,100,185,37500000,112500000
Vettel,Epic,5,61,57,59,55,53,62,347,226,10,50,85,60000000,150000000
Alonso,Epic,4,62,59,57,61,53,55,347,235,11,20,35,85500000,171000000
Russell,Epic,3,61,62,55,53,57,59,347,233,12,10,15,108000000,162000000
Latifi,Epic,8,53,55,58,57,60,62,345,225,7,400,785,12390000,49560000
Tsunoda,Epic,7,60,57,62,58,55,53,345,230,8,200,385,22500000,78750000
Stroll,Epic,6,62,58,57,55,53,60,345,228,9,100,185,37500000,112500000
Ocon,Epic,5,53,60,55,62,58,57,345,233,10,50,85,60000000,150000000
Perez,Epic,4,57,55,62,53,58,60,345,223,11,20,35,85500000,171000000
Leclerc,Epic,3,55,53,60,58,62,57,345,228,12,10,15,108000000,162000000
Verstappen,Rare,9,61,57,55,53,59,51,336,230,10,1000,1785,80000000,360000000
Norris,Rare,9,55,53,51,60,57,58,334,225,10,1000,1785,80000000,360000000
Hamilton,Rare,8,57,58,60,51,55,53,334,221,11,400,785,133000000,532000000
Hamilton,Epic,2,57,58,60,51,55,53,334,221,12,4,5,54000000,54000000
Sainz,Epic,3,51,58,56,54,52,60,331,215,11,10,15,57000000,85500000
Verstappen,Epic,2,60,56,54,52,58,51,331,226,12,4,5,54000000,54000000
Ricciardo,Epic,4,52,50,54,58,60,56,330,220,10,20,35,45000000,90000000
Gasly,Epic,3,56,60,52,54,58,50,330,228,11,10,15,57000000,85500000
Norris,Epic,2,54,52,50,60,56,58,330,222,12,4,5,54000000,54000000
Bottas,Epic,5,55,59,50,54,57,52,327,225,9,50,85,30000000,75000000
Vettel,Epic,4,57,54,55,52,50,59,327,213,10,20,35,45000000,90000000
Alonso,Epic,3,59,55,54,57,50,52,327,221,11,10,15,57000000,85500000
Russell,Epic,2,57,59,52,50,54,55,327,220,12,4,5,54000000,54000000
Latifi,Epic,7,50,51,55,53,57,59,325,211,7,200,385,10620000,37170000
Albon,Epic,8,53,57,50,51,59,55,325,220,6,400,785,5460000,21840000
Tsunoda,Epic,6,57,53,59,55,51,50,325,216,8,100,185,18750000,56250000
Stroll,Epic,5,59,55,53,51,50,57,325,215,9,50,85,30000000,75000000
Ocon,Epic,4,50,57,51,59,55,53,325,221,10,20,35,45000000,90000000
Perez,Epic,3,53,51,59,50,55,57,325,209,11,10,15,57000000,85500000
Leclerc,Epic,2,51,50,57,55,59,53,325,215,12,4,5,54000000,54000000
Russell,Rare,9,57,58,51,49,53,55,323,217,9,1000,1785,40000000,180000000
Leclerc,Rare,9,51,49,56,54,58,52,320,212,9,1000,1785,40000000,180000000
Verstappen,Rare,8,58,54,52,51,56,49,320,219,10,400,785,70000000,280000000
Sainz,Rare,9,48,56,54,52,50,58,318,206,9,1000,1785,40000000,180000000
Norris,Rare,8,52,50,48,58,54,56,318,214,10,400,785,70000000,280000000
Hamilton,Rare,7,54,56,58,48,52,50,318,210,11,200,385,114000000,399000000
Hamilton,Epic,1,53,55,57,48,51,50,314,207,12,1,1,0,0
Sainz,Epic,2,47,55,53,51,49,57,312,202,11,4,5,28500000,28500000
Verstappen,Epic,1,57,53,51,49,55,47,312,214,12,1,1,0,0
Gasly,Rare,9,52,56,49,51,54,47,309,213,8,1000,1785,20000000,90000000
Ricciardo,Epic,3,49,47,51,54,56,52,309,206,10,10,15,30000000,45000000
Gasly,Epic,2,52,56,49,51,54,47,309,213,11,4,5,28500000,28500000
Norris,Epic,1,51,49,47,56,52,54,309,208,12,1,1,0,0
Alonso,Rare,9,56,52,50,54,47,48,307,209,8,1000,1785,20000000,90000000
Russell,Rare,8,54,56,48,47,50,52,307,207,9,400,785,35000000,140000000
Bottas,Epic,4,52,56,47,50,54,48,307,212,9,20,35,22500000,45000000
Vettel,Epic,3,54,50,52,48,47,56,307,199,10,10,15,30000000,45000000
Alonso,Epic,2,56,52,50,54,47,48,307,209,11,4,5,28500000,28500000
Russell,Epic,1,54,56,48,47,50,52,307,207,12,1,1,0,0
Perez,Rare,9,50,48,55,46,52,54,305,196,8,1000,1785,20000000,90000000
Leclerc,Rare,8,48,46,54,52,55,50,305,201,9,400,785,35000000,140000000
Verstappen,Rare,7,55,52,50,48,54,46,305,209,10,200,385,60000000,210000000
Magnussen,Epic,8,52,55,46,54,50,48,305,211,5,400,785,2310000,9240000
Latifi,Epic,6,46,48,52,50,54,55,305,198,7,100,185,8850000,26550000
Albon,Epic,7,50,54,46,48,55,52,305,207,6,200,385,4680000,16380000
Tsunoda,Epic,5,54,50,55,52,48,46,305,204,8,50,85,15000000,37500000
Stroll,Epic,4,55,52,50,48,46,54,305,201,9,20,35,22500000,45000000
Ocon,Epic,3,46,54,48,55,52,50,305,207,10,10,15,30000000,45000000
Perez,Epic,2,50,48,55,46,52,54,305,196,11,4,5,28500000,28500000
Leclerc,Epic,1,48,46,54,52,55,50,305,201,12,1,1,0,0
Ricciardo,Rare,9,48,46,50,53,55,51,303,202,8,1000,1785,20000000,90000000
Sainz,Rare,8,46,53,51,50,48,55,303,197,9,400,785,35000000,140000000
Norris,Rare,7,50,48,46,55,51,53,303,204,10,200,385,60000000,210000000
Hamilton,Rare,6,51,53,55,46,50,48,303,200,11,100,185,95000000,285000000
Vettel,Rare,9,52,48,50,46,44,54,294,190,7,1000,1785,9440000,42480000
Gasly,Rare,8,50,54,46,48,52,44,294,204,8,400,785,17500000,70000000
Ocon,Rare,9,44,51,46,53,50,48,292,198,7,1000,1785,9440000,42480000
Alonso,Rare,8,53,50,48,51,44,46,292,198,8,400,785,17500000,70000000
Russell,Rare,7,51,53,46,44,48,50,292,196,9,200,385,30000000,105000000
Sainz,Epic,1,44,51,50,48,46,53,292,189,11,1,1,0,0
Bottas,Rare,9,49,53,44,47,51,45,289,200,7,1000,1785,9440000,42480000
Perez,Rare,8,47,45,53,44,49,51,289,185,8,400,785,17500000,70000000
Leclerc,Rare,7,45,44,51,49,53,47,289,191,9,200,385,30000000,105000000
Verstappen,Rare,6,53,49,47,45,51,44,289,198,10,100,185,50000000,150000000
Ricciardo,Epic,2,45,44,47,51,53,49,289,193,10,4,5,15000000,15000000
Gasly,Epic,1,49,53,45,47,51,44,289,200,11,1,1,0,0
Stroll,Rare,9,52,49,47,45,43,51,287,189,7,1000,1785,9440000,42480000
Ricciardo,Rare,8,45,43,47,51,52,49,287,191,8,400,785,17500000,70000000
Sainz,Rare,7,43,51,49,47,45,52,287,186,9,200,385,30000000,105000000
Norris,Rare,6,47,45,43,52,49,51,287,193,10,100,185,50000000,150000000
Hamilton,Rare,5,49,51,52,43,47,45,287,190,11,50,85,76000000,190000000
Bottas,Epic,3,49,52,43,47,51,45,287,199,9,10,15,15000000,22500000
Vettel,Epic,2,51,47,49,45,43,52,287,186,10,4,5,15000000,15000000
Alonso,Epic,1,52,49,47,51,43,45,287,195,11,1,1,0,0
Zhou,Epic,8,52,47,50,48,45,43,285,192,4,400,785,840000,3360000
Magnussen,Epic,7,48,52,43,50,47,45,285,197,5,200,385,1980000,6930000
Latifi,Epic,5,43,45,48,47,50,52,285,185,7,50,85,7080000,17700000
Albon,Epic,6,47,50,43,45,52,48,285,194,6,100,185,3900000,11700000
Tsunoda,Epic,4,50,47,52,48,45,43,285,190,8,20,35,11250000,22500000
Stroll,Epic,3,52,48,47,45,43,50,285,188,9,10,15,15000000,22500000
Ocon,Epic,2,43,50,45,52,48,47,285,193,10,4,5,15000000,15000000
Perez,Epic,1,47,45,52,43,48,50,285,183,11,1,1,0,0
Vettel,Rare,8,49,45,47,44,42,51,278,180,7,400,785,8260000,33040000
Gasly,Rare,7,47,51,44,45,49,42,278,192,8,200,385,15000000,52500000
Tsunoda,Rare,9,49,45,51,47,43,41,276,184,6,1000,1785,4160000,18720000
Ocon,Rare,8,41,49,43,51,47,45,276,188,7,400,785,8260000,33040000
Alonso,Rare,7,51,47,45,49,41,43,276,188,8,200,385,15000000,52500000
Russell,Rare,6,49,51,43,41,45,47,276,186,9,100,185,25000000,75000000
Schumacher,Rare,9,43,41,48,50,47,45,274,181,6,1000,1785,4160000,18720000
Bottas,Rare,8,47,50,41,45,48,43,274,190,7,400,785,8260000,33040000
Perez,Rare,7,45,43,50,41,47,48,274,176,8,200,385,15000000,52500000
Leclerc,Rare,6,43,41,48,47,50,45,274,181,9,100,185,25000000,75000000
Verstappen,Rare,5,50,47,45,43,48,41,274,188,10,50,85,40000000,100000000
Latifi,Rare,9,41,42,46,44,48,50,271,175,6,1000,1785,4160000,18720000
Stroll,Rare,8,50,46,44,42,41,48,271,179,7,400,785,8260000,33040000
Ricciardo,Rare,7,42,41,44,48,50,46,271,181,8,200,385,15000000,52500000
Sainz,Rare,6,41,48,46,44,42,50,271,175,9,100,185,25000000,75000000
Norris,Rare,5,44,42,41,50,46,48,271,182,10,50,85,40000000,100000000
Hamilton,Rare,4,46,48,50,41,44,42,271,179,11,20,35,57000000,114000000
Ricciardo,Epic,1,42,40,44,48,50,46,270,180,10,1,1,0,0
Bottas,Epic,2,45,49,40,44,47,42,267,185,9,4,5,7500000,7500000
Vettel,Epic,1,47,44,45,42,40,49,267,173,10,1,1,0,0
Zhou,Epic,7,49,43,47,45,41,40,265,178,4,200,385,720000,2520000
Magnussen,Epic,6,45,49,40,47,43,41,265,184,5,100,185,1650000,4950000
Latifi,Epic,4,40,41,45,43,47,49,265,171,7,20,35,5310000,10620000
Albon,Epic,5,43,47,40,41,49,45,265,180,6,50,85,3120000,7800000
Tsunoda,Epic,3,47,43,49,45,41,40,265,176,8,10,15,7500000,11250000
Stroll,Epic,2,49,45,43,41,40,47,265,175,9,4,5,7500000,7500000
Ocon,Epic,1,40,47,41,49,45,43,265,181,10,1,1,0,0
Vettel,Rare,7,47,43,45,41,39,48,263,170,7,200,385,7080000,24780000
Gasly,Rare,6,45,48,41,43,47,39,263,183,8,100,185,12500000,37500000
Tsunoda,Rare,8,46,42,48,44,41,39,260,173,6,400,785,3640000,14560000
Ocon,Rare,7,39,46,41,48,44,42,260,177,7,200,385,7080000,24780000
Alonso,Rare,6,48,44,42,46,39,41,260,177,8,100,185,12500000,37500000
Russell,Rare,5,46,48,41,39,42,44,260,175,9,50,85,20000000,50000000
Schumacher,Rare,8,40,38,46,48,44,42,258,170,6,400,785,3640000,14560000
Bottas,Rare,7,44,48,38,42,46,40,258,180,7,200,385,7080000,24780000
Perez,Rare,6,42,40,48,38,44,46,258,164,8,100,185,12500000,37500000
Leclerc,Rare,5,40,38,46,44,48,42,258,170,9,50,85,20000000,50000000
Verstappen,Rare,4,48,44,42,40,46,38,258,178,10,20,35,30000000,60000000
Latifi,Rare,8,38,40,44,42,45,47,256,165,6,400,785,3640000,14560000
Stroll,Rare,7,47,44,42,40,38,45,256,169,7,200,385,7080000,24780000
Ricciardo,Rare,6,40,38,42,45,47,44,256,170,8,100,185,12500000,37500000
Sainz,Rare,5,38,45,44,42,40,47,256,165,9,50,85,20000000,50000000
Norris,Rare,4,42,40,38,47,44,45,256,173,10,20,35,30000000,60000000
Hamilton,Rare,3,44,45,47,38,42,40,256,169,11,10,15,38000000,57000000
Hamilton,Common,11,42,44,46,37,40,38,247,163,6,4000,7785,1100000,6050000
Vettel,Rare,6,44,40,42,38,37,46,247,159,7,100,185,5900000,17700000
Gasly,Rare,5,42,46,38,40,44,37,247,172,8,50,85,10000000,25000000
Bottas,Epic,1,42,46,37,40,44,38,247,172,9,1,1,0,0
Tsunoda,Rare,7,44,40,45,42,38,36,245,164,6,200,385,3120000,10920000
Ocon,Rare,6,36,44,38,45,42,40,245,167,7,100,185,5900000,17700000
Alonso,Rare,5,45,42,40,44,36,38,245,167,8,50,85,10000000,25000000
Russell,Rare,4,44,45,38,36,40,42,245,165,9,20,35,15000000,30000000
Zhou,Epic,6,45,40,44,42,38,36,245,165,4,100,185,600000,1800000
Magnussen,Epic,5,42,45,36,44,40,38,245,171,5,50,85,1320000,3300000
Latifi,Epic,3,36,38,42,40,44,45,245,158,7,10,15,3540000,5310000
Albon,Epic,4,40,44,36,38,45,42,245,167,6,20,35,2340000,4680000
Tsunoda,Epic,2,44,40,45,42,38,36,245,164,8,4,5,3750000,3750000
Stroll,Epic,1,45,42,40,38,36,44,245,161,9,1,1,0,0
Verstappen,Common,11,45,41,40,38,43,36,243,167,5,4000,7785,1100000,6050000
Schumacher,Rare,7,38,36,43,45,41,40,243,160,6,200,385,3120000,10920000
Bottas,Rare,6,41,45,36,40,43,38,243,169,7,100,185,5900000,17700000
Perez,Rare,5,40,38,45,36,41,43,243,155,8,50,85,10000000,25000000
Leclerc,Rare,4,38,36,43,41,45,40,243,160,9,20,35,15000000,30000000
Verstappen,Rare,3,45,41,40,38,43,36,243,167,10,10,15,20000000,30000000
Norris,Common,11,39,37,35,45,41,43,240,162,5,4000,7785,1100000,6050000
Latifi,Rare,7,35,37,41,39,43,45,240,154,6,200,385,3120000,10920000
Stroll,Rare,6,45,41,39,37,35,43,240,158,7,100,185,5900000,17700000
Ricciardo,Rare,5,37,35,39,43,45,41,240,160,8,50,85,10000000,25000000
Sainz,Rare,4,35,43,41,39,37,45,240,154,9,20,35,15000000,30000000
Norris,Rare,3,39,37,35,45,41,43,240,162,10,10,15,20000000,30000000
Hamilton,Rare,2,41,43,45,35,39,37,240,158,11,4,5,19000000,19000000
Russell,Common,11,42,44,37,35,39,41,238,160,5,4000,7785,1100000,6050000
Leclerc,Common,11,37,35,42,40,44,38,236,156,5,4000,7785,1100000,6050000
Hamilton,Common,10,40,42,44,35,38,37,236,155,6,2000,3785,990000,4950000
Sainz,Common,11,34,41,40,38,36,43,232,149,4,4000,7785,400000,2200000
Verstappen,Common,10,43,40,38,36,41,34,232,160,5,2000,3785,990000,4950000
Vettel,Rare,5,41,38,40,36,34,43,232,149,7,50,85,4720000,11800000
Gasly,Rare,4,40,43,36,38,41,34,232,162,8,20,35,7500000,15000000
Gasly,Common,11,39,43,35,37,41,34,229,160,4,4000,7785,400000,2200000
Norris,Common,10,37,35,34,43,39,41,229,154,5,2000,3785,990000,4950000
Tsunoda,Rare,6,41,37,43,39,35,34,229,152,6,100,185,2600000,7800000
Ocon,Rare,5,34,41,35,43,39,37,229,157,7,50,85,4720000,11800000
Alonso,Rare,4,43,39,37,41,34,35,229,157,8,20,35,7500000,15000000
Russell,Rare,3,41,43,35,34,37,39,229,155,9,10,15,10000000,15000000
Alonso,Common,11,42,39,37,41,33,35,227,155,4,4000,7785,400000,2200000
Russell,Common,10,41,42,35,33,37,39,227,153,5,2000,3785,990000,4950000
Schumacher,Rare,6,35,33,41,42,39,37,227,149,6,100,185,2600000,7800000
Bottas,Rare,5,39,42,33,37,41,35,227,159,7,50,85,4720000,11800000
Perez,Rare,4,37,35,42,33,39,41,227,144,8,20,35,7500000,15000000
Leclerc,Rare,3,35,33,41,39,42,37,227,149,9,10,15,10000000,15000000
Verstappen,Rare,2,42,39,37,35,41,33,227,157,10,4,5,10000000,10000000
Perez,Common,11,37,35,42,33,38,40,225,143,4,4000,7785,400000,2200000
Leclerc,Common,10,35,33,40,38,42,37,225,148,5,2000,3785,990000,4950000
Hamilton,Common,9,38,40,42,33,37,35,225,148,6,1000,1785,880000,3960000
Magnussen,Rare,9,38,42,33,40,37,35,225,157,3,1000,1785,224000,1008000
Latifi,Rare,6,33,35,38,37,40,42,225,145,6,100,185,2600000,7800000
Stroll,Rare,5,42,38,37,35,33,40,225,148,7,50,85,4720000,11800000
Ricciardo,Rare,4,35,33,37,40,42,38,225,150,8,20,35,7500000,15000000
Sainz,Rare,3,33,40,38,37,35,42,225,145,9,10,15,10000000,15000000
Norris,Rare,2,37,35,33,42,38,40,225,152,10,4,5,10000000,10000000
Hamilton,Rare,1,38,40,42,33,37,35,225,148,11,1,1,0,0
Zhou,Epic,5,42,37,40,38,35,33,225,152,4,50,85,480000,1200000
Magnussen,Epic,4,38,42,33,40,37,35,225,157,5,20,35,990000,1980000
Latifi,Epic,2,33,35,38,37,40,42,225,145,7,4,5,1770000,1770000
Schumacher,Epic,8,35,33,40,42,38,37,225,148,1,400,785,21000,84000
Albon,Epic,3,37,40,33,35,42,38,225,154,6,10,15,1560000,2340000
Tsunoda,Epic,1,40,37,42,38,35,33,225,150,8,1,1,0,0
Sainz,Common,10,32,40,38,36,34,41,221,142,4,2000,3785,360000,1800000
Verstappen,Common,9,41,38,36,34,40,32,221,153,5,1000,1785,880000,3960000
Gasly,Common,10,37,41,34,35,39,32,218,152,4,2000,3785,360000,1800000
Norris,Common,9,35,34,32,41,37,39,218,147,5,1000,1785,880000,3960000
